Partido candidato de la coalición,U Distrito,Estado,Cabecera.Distrital,Media,DesvEst,Menor,Mayor,PROBABILIDAD DE GANAR
RSP,E15D41,MÉXICO,OJO DE AGUA,2.86%,0.0198,0.00%,6.74%,0.00%
ES,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,2.45%,0.0418,0.00%,10.64%,0.00%
MC,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,3.49%,0.0041,2.81%,4.30%,0.00%
PAN,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,12.86%,0.0235,8.99%,17.46%,0.00%
PRD,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,5.47%,0.0132,3.30%,8.06%,0.00%
PRI,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,16.46%,0.0640,5.93%,29.00%,0.00%
PT,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,52.76%,0.0689,41.43%,66.27%,100.00%
RSP,E15D5,MÉXICO,TEOTIHUACAN DE ARISTA,2.80%,0.0134,0.60%,5.43%,0.00%
ES,E15D6,MÉXICO,COACALCO DE BERRIOZABAL,2.74%,0.0247,0.00%,7.58%,0.00%
MC,E15D6,MÉXICO,COACALCO DE BERRIOZABAL,7.76%,0.0072,6.57%,9.18%,0.00%
PRD,E15D6,MÉXICO,COACALCO DE BERRIOZABAL,29.83%,0.0586,20.20%,41.31%,0.12%
PVEM,E15D6,MÉXICO,COACALCO DE BERRIOZABAL,54.73%,0.0504,46.44%,64.61%,99.88%
RSP,E15D6,MÉXICO,COACALCO DE BERRIOZABAL,4.27%,0.0276,0.00%,9.68%,0.00%
ES,E15D7,MÉXICO,CUAUTITLAN IZCALLI,5.03%,0.0343,0.00%,11.74%,0.00%
MC,E15D7,MÉXICO,CUAUTITLAN IZCALLI,3.85%,0.0068,2.74%,5.17%,0.00%
MORENA,E15D7,MÉXICO,CUAUTITLAN IZCALLI,41.68%,0.0074,40.47%,43.13%,94.43%
PAN,E15D7,MÉXICO,CUAUTITLAN IZCALLI,33.29%,0.0574,23.85%,44.55%,5.57%
PT,E15D7,MÉXICO,CUAUTITLAN IZCALLI,3.53%,0.0073,2.33%,4.96%,0.00%
PVEM,E15D7,MÉXICO,CUAUTITLAN IZCALLI,6.77%,0.0485,0.00%,16.27%,0.00%
RSP,E15D7,MÉXICO,CUAUTITLAN IZCALLI,2.71%,0.0087,1.29%,4.41%,0.00%
ES,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,3.33%,0.0326,0.00%,9.71%,0.00%
MC,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,7.81%,0.0145,5.42%,10.66%,0.00%
MORENA,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,45.90%,0.0073,44.69%,47.33%,100.00%
PAN,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,10.46%,0.0190,7.33%,14.17%,0.00%
PRD,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,7.68%,0.0259,3.42%,12.76%,0.00%
PRI,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,10.88%,0.0483,2.93%,20.35%,0.00%
PT,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,2.65%,0.0029,2.18%,3.21%,0.00%
PVEM,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,6.54%,0.0515,0.00%,16.63%,0.00%
RSP,E15D8,MÉXICO,TULTITLAN DE MARIANO ESCOBEDO,4.04%,0.0180,1.08%,7.56%,0.00%
ES,E15D9,MÉXICO,SAN FELIPE DEL PROGRESO,2.76%,0.0526,0.00%,13.07%,0.00%
MC,E15D9,MÉXICO,SAN FELIPE DEL PROGRESO,7.80%,0.0261,3.51%,12.91%,0.00%
MORENA,E15D9,MÉXICO,SAN FELIPE DEL PROGRESO,30.31%,0.0068,29.19%,31.64%,53.88%
PRI,E15D9,MÉXICO,SAN FELIPE DEL PROGRESO,40.92%,0.0991,24.61%,60.35%,44.68%
PT,E15D9,MÉXICO,SAN FELIPE DEL PROGRESO,3.51%,0.0085,2.10%,5.18%,0.00%
PVEM,E15D9,MÉXICO,SAN FELIPE DEL PROGRESO,11.88%,0.1001,0.00%,31.50%,1.44%
RSP,E15D9,MÉXICO,SAN FELIPE DEL PROGRESO,3.37%,0.0208,0.00%,7.46%,0.00%
ES,E16D1,MICHOACÁN,LAZARO CARDENAS,1.01%,0.0323,0.00%,7.35%,0.00%
MC,E16D1,MICHOACÁN,LAZARO CARDENAS,5.31%,0.0307,0.00%,11.33%,0.00%
MORENA,E16D1,MICHOACÁN,LAZARO CARDENAS,40.35%,0.0177,37.44%,43.82%,84.60%
PRI,E16D1,MICHOACÁN,LAZARO CARDENAS,33.31%,0.0758,20.85%,48.15%,15.40%
PT,E16D1,MICHOACÁN,LAZARO CARDENAS,5.68%,0.0083,4.31%,7.32%,0.00%
PVEM,E16D1,MICHOACÁN,LAZARO CARDENAS,5.70%,0.0548,0.00%,16.43%,0.00%
RSP,E16D1,MICHOACÁN,LAZARO CARDENAS,3.71%,0.0428,0.00%,12.11%,0.00%
ES,E16D10,MICHOACÁN,MORELIA,3.64%,0.0329,0.00%,10.09%,0.00%
MC,E16D10,MICHOACÁN,MORELIA,5.02%,0.0204,1.66%,9.03%,0.00%
MORENA,E16D10,MICHOACÁN,MORELIA,33.14%,0.0178,30.21%,36.63%,48.08%
PAN,E16D10,MICHOACÁN,MORELIA,40.60%,0.0602,30.71%,52.39%,51.92%
PT,E16D10,MICHOACÁN,MORELIA,5.52%,0.0056,4.61%,6.62%,0.00%
PVEM,E16D10,MICHOACÁN,MORELIA,8.11%,0.0539,0.00%,18.67%,0.00%
RSP,E16D10,MICHOACÁN,MORELIA,3.21%,0.0274,0.00%,8.58%,0.00%
ES,E16D11,MICHOACÁN,PATZCUARO,1.75%,0.0383,0.00%,9.25%,0.00%
MC,E16D11,MICHOACÁN,PATZCUARO,6.29%,0.0335,0.00%,12.85%,0.00%
MORENA,E16D11,MICHOACÁN,PATZCUARO,33.11%,0.0468,25.42%,42.28%,50.99%
PRD,E16D11,MICHOACÁN,PATZCUARO,38.21%,0.0861,24.05%,55.08%,48.98%
PT,E16D11,MICHOACÁN,PATZCUARO,6.76%,0.0065,5.68%,8.04%,0.00%
PVEM,E16D11,MICHOACÁN,PATZCUARO,8.34%,0.0553,0.00%,19.18%,0.03%
RSP,E16D11,MICHOACÁN,PATZCUARO,6.48%,0.0504,0.00%,16.36%,0.00%
ES,E16D12,MICHOACÁN,APATZINGAN DE LA CONSTITUCION,1.44%,0.0234,0.00%,6.03%,0.00%
MC,E16D12,MICHOACÁN,APATZINGAN DE LA CONSTITUCION,7.71%,0.0401,0.00%,15.58%,0.00%
PRI,E16D12,MICHOACÁN,APATZINGAN DE LA CONSTITUCION,35.16%,0.0699,23.65%,48.86%,3.77%
PT,E16D12,MICHOACÁN,APATZINGAN DE LA CONSTITUCION,52.30%,0.0420,45.39%,60.54%,96.23%
RSP,E16D12,MICHOACÁN,APATZINGAN DE LA CONSTITUCION,5.76%,0.0490,0.00%,15.36%,0.00%
ES,E16D2,MICHOACÁN,PURUANDIRO,1.75%,0.0329,0.00%,8.20%,0.00%
MC,E16D2,MICHOACÁN,PURUANDIRO,6.48%,0.0471,0.00%,15.71%,0.00%
MORENA,E16D2,MICHOACÁN,PURUANDIRO,30.65%,0.0454,23.18%,39.55%,48.66%
PRD,E16D2,MICHOACÁN,PURUANDIRO,38.62%,0.0884,24.08%,55.94%,51.27%
PT,E16D2,MICHOACÁN,PURUANDIRO,9.40%,0.0069,8.27%,10.75%,0.00%
PVEM,E16D2,MICHOACÁN,PURUANDIRO,8.61%,0.0521,0.00%,18.82%,0.05%
RSP,E16D2,MICHOACÁN,PURUANDIRO,6.75%,0.0530,0.00%,17.14%,0.01%
ES,E16D3,MICHOACÁN,HEROICA ZITACUARO,1.73%,0.0349,0.00%,8.58%,0.00%
MC,E16D3,MICHOACÁN,HEROICA ZITACUARO,6.29%,0.0439,0.00%,14.90%,0.00%
PRD,E16D3,MICHOACÁN,HEROICA ZITACUARO,38.72%,0.0807,25.44%,54.53%,33.96%
PT,E16D3,MICHOACÁN,HEROICA ZITACUARO,46.22%,0.0639,35.71%,58.75%,66.04%
RSP,E16D3,MICHOACÁN,HEROICA ZITACUARO,6.34%,0.0526,0.00%,16.65%,0.00%
ES,E16D4,MICHOACÁN,JIQUILPAN DE JUAREZ,2.17%,0.0271,0.00%,7.47%,0.00%
MC,E16D4,MICHOACÁN,JIQUILPAN DE JUAREZ,5.41%,0.0199,2.13%,9.32%,0.00%
MORENA,E16D4,MICHOACÁN,JIQUILPAN DE JUAREZ,31.11%,0.0210,27.66%,35.22%,8.71%
PAN,E16D4,MICHOACÁN,JIQUILPAN DE JUAREZ,43.73%,0.0644,33.15%,56.35%,91.29%
PT,E16D4,MICHOACÁN,JIQUILPAN DE JUAREZ,4.69%,0.0060,3.70%,5.87%,0.00%
PVEM,E16D4,MICHOACÁN,JIQUILPAN DE JUAREZ,8.64%,0.0590,0.00%,20.20%,0.00%
RSP,E16D4,MICHOACÁN,JIQUILPAN DE JUAREZ,5.36%,0.0352,0.00%,12.25%,0.00%
ES,E16D5,MICHOACÁN,ZAMORA DE HIDALGO,2.34%,0.0376,0.00%,9.72%,0.00%
MC,E16D5,MICHOACÁN,ZAMORA DE HIDALGO,5.79%,0.0130,3.66%,8.33%,0.00%
MORENA,E16D5,MICHOACÁN,ZAMORA DE HIDALGO,33.28%,0.0064,32.22%,34.53%,51.48%
PAN,E16D5,MICHOACÁN,ZAMORA DE HIDALGO,40.98%,0.0618,30.82%,53.09%,48.52%
PT,E16D5,MICHOACÁN,ZAMORA DE HIDALGO,5.94%,0.0048,5.15%,6.89%,0.00%
PVEM,E16D5,MICHOACÁN,ZAMORA DE HIDALGO,8.46%,0.0551,0.00%,19.26%,0.00%
RSP,E16D5,MICHOACÁN,ZAMORA DE HIDALGO,5.33%,0.0220,1.71%,9.64%,0.00%
ES,E16D6,MICHOACÁN,CIUDAD HIDALGO,2.66%,0.0286,0.00%,8.26%,0.00%
MC,E16D6,MICHOACÁN,CIUDAD HIDALGO,6.15%,0.0113,4.30%,8.36%,0.00%
MORENA,E16D6,MICHOACÁN,CIUDAD HIDALGO,29.39%,0.0133,27.20%,31.99%,50.27%
PAN,E16D6,MICHOACÁN,CIUDAD HIDALGO,36.44%,0.0578,26.93%,47.77%,49.73%
PT,E16D6,MICHOACÁN,CIUDAD HIDALGO,5.56%,0.0073,4.36%,6.98%,0.00%
PVEM,E16D6,MICHOACÁN,CIUDAD HIDALGO,8.80%,0.0435,1.64%,17.33%,0.00%
RSP,E16D6,MICHOACÁN,CIUDAD HIDALGO,7.00%,0.0448,0.00%,15.78%,0.00%
ES,E16D7,MICHOACÁN,ZACAPU,2.90%,0.0261,0.00%,8.00%,0.00%
MC,E16D7,MICHOACÁN,ZACAPU,7.89%,0.0212,4.40%,12.05%,0.00%
MORENA,E16D7,MICHOACÁN,ZACAPU,32.26%,0.0215,28.72%,36.47%,50.50%
PRI,E16D7,MICHOACÁN,ZACAPU,36.77%,0.0516,28.28%,46.89%,49.50%
PT,E16D7,MICHOACÁN,ZACAPU,5.45%,0.0054,4.56%,6.50%,0.00%
PVEM,E16D7,MICHOACÁN,ZACAPU,9.62%,0.0437,2.43%,18.19%,0.00%
RSP,E16D7,MICHOACÁN,ZACAPU,5.77%,0.0375,0.00%,13.12%,0.00%
ES,E16D8,MICHOACÁN,MORELIA,4.48%,0.0364,0.00%,11.62%,0.00%
MC,E16D8,MICHOACÁN,MORELIA,6.26%,0.0182,3.27%,9.83%,0.00%
MORENA,E16D8,MICHOACÁN,MORELIA,34.49%,0.0071,33.33%,35.88%,75.95%
PRI,E16D8,MICHOACÁN,MORELIA,32.83%,0.0464,25.20%,41.91%,24.05%
PT,E16D8,MICHOACÁN,MORELIA,5.74%,0.0053,4.87%,6.77%,0.00%
PVEM,E16D8,MICHOACÁN,MORELIA,9.23%,0.0554,0.00%,20.08%,0.00%
RSP,E16D8,MICHOACÁN,MORELIA,3.85%,0.0282,0.00%,9.37%,0.00%
ES,E16D9,MICHOACÁN,URUAPAN DEL PROGRESO,2.69%,0.0285,0.00%,8.28%,0.00%
MC,E16D9,MICHOACÁN,URUAPAN DEL PROGRESO,6.31%,0.0361,0.00%,13.40%,0.00%
MORENA,E16D9,MICHOACÁN,URUAPAN DEL PROGRESO,37.85%,0.0219,34.24%,42.14%,60.84%
PRD,E16D9,MICHOACÁN,URUAPAN DEL PROGRESO,38.18%,0.0601,28.30%,49.95%,39.16%
PT,E16D9,MICHOACÁN,URUAPAN DEL PROGRESO,5.60%,0.0046,4.86%,6.50%,0.00%
PVEM,E16D9,MICHOACÁN,URUAPAN DEL PROGRESO,6.33%,0.0384,0.00%,13.86%,0.00%
RSP,E16D9,MICHOACÁN,URUAPAN DEL PROGRESO,5.37%,0.0517,0.00%,15.51%,0.00%
ES,E17D1,MORELOS,CUERNAVACA,5.11%,0.0231,1.31%,9.64%,0.00%
MC,E17D1,MORELOS,CUERNAVACA,7.54%,0.0118,5.61%,9.85%,0.00%
MORENA,E17D1,MORELOS,CUERNAVACA,41.11%,0.0070,39.96%,42.50%,100.00%
PAN,E17D1,MORELOS,CUERNAVACA,15.50%,0.0107,13.73%,17.60%,0.00%
PRD,E17D1,MORELOS,CUERNAVACA,7.13%,0.0339,1.56%,13.77%,0.00%
PRI,E17D1,MORELOS,CUERNAVACA,7.91%,0.0251,3.77%,12.84%,0.00%
PT,E17D1,MORELOS,CUERNAVACA,4.84%,0.0046,4.08%,5.75%,0.00%
PVEM,E17D1,MORELOS,CUERNAVACA,6.85%,0.0292,2.05%,12.56%,0.00%
RSP,E17D1,MORELOS,CUERNAVACA,4.94%,0.0282,0.00%,10.47%,0.00%
ES,E17D2,MORELOS,JIUTEPEC,4.51%,0.0204,1.16%,8.50%,0.00%
MC,E17D2,MORELOS,JIUTEPEC,8.34%,0.0111,6.51%,10.51%,0.00%
MORENA,E17D2,MORELOS,JIUTEPEC,40.46%,0.0076,39.21%,41.96%,100.00%
PAN,E17D2,MORELOS,JIUTEPEC,7.73%,0.0103,6.04%,9.75%,0.00%
PRD,E17D2,MORELOS,JIUTEPEC,11.21%,0.0375,5.04%,18.56%,0.00%
PRI,E17D2,MORELOS,JIUTEPEC,7.21%,0.0108,5.42%,9.33%,0.00%
PT,E17D2,MORELOS,JIUTEPEC,6.05%,0.0046,5.30%,6.95%,0.00%
PVEM,E17D2,MORELOS,JIUTEPEC,8.34%,0.0246,4.29%,13.15%,0.00%
RSP,E17D2,MORELOS,JIUTEPEC,6.16%,0.0306,1.12%,12.16%,0.00%
ES,E17D3,MORELOS,CUAUTLA,4.68%,0.0208,1.25%,8.76%,0.00%
MC,E17D3,MORELOS,CUAUTLA,9.80%,0.0110,7.98%,11.96%,0.00%
MORENA,E17D3,MORELOS,CUAUTLA,40.10%,0.0113,38.24%,42.32%,100.00%
PAN,E17D3,MORELOS,CUAUTLA,4.46%,0.0238,0.00%,9.13%,0.00%
PRD,E17D3,MORELOS,CUAUTLA,10.52%,0.0387,4.15%,18.11%,0.00%
PRI,E17D3,MORELOS,CUAUTLA,7.77%,0.0277,3.21%,13.20%,0.00%
PT,E17D3,MORELOS,CUAUTLA,6.50%,0.0049,5.69%,7.45%,0.00%
PVEM,E17D3,MORELOS,CUAUTLA,7.44%,0.0244,3.42%,12.23%,0.00%
RSP,E17D3,MORELOS,CUAUTLA,7.91%,0.0321,2.64%,14.20%,0.00%
ES,E17D4,MORELOS,JOJUTLA,3.33%,0.0228,0.00%,7.80%,0.00%
MC,E17D4,MORELOS,JOJUTLA,9.29%,0.0130,7.14%,11.84%,0.00%
MORENA,E17D4,MORELOS,JOJUTLA,39.90%,0.0115,38.02%,42.15%,100.00%
PAN,E17D4,MORELOS,JOJUTLA,3.67%,0.0291,0.00%,9.38%,0.00%
PRD,E17D4,MORELOS,JOJUTLA,11.99%,0.0414,5.17%,20.11%,0.00%
PRI,E17D4,MORELOS,JOJUTLA,9.75%,0.0349,4.01%,16.59%,0.00%
PT,E17D4,MORELOS,JOJUTLA,7.48%,0.0076,6.23%,8.96%,0.00%
PVEM,E17D4,MORELOS,JOJUTLA,6.81%,0.0331,1.37%,13.29%,0.00%
RSP,E17D4,MORELOS,JOJUTLA,5.86%,0.0360,0.00%,12.92%,0.00%
ES,E17D5,MORELOS,YAUTEPEC,3.71%,0.0143,1.36%,6.52%,0.00%
MC,E17D5,MORELOS,YAUTEPEC,8.02%,0.0148,5.59%,10.92%,0.00%
MORENA,E17D5,MORELOS,YAUTEPEC,36.49%,0.0114,34.61%,38.72%,100.00%
PAN,E17D5,MORELOS,YAUTEPEC,5.83%,0.0078,4.54%,7.36%,0.00%
PRD,E17D5,MORELOS,YAUTEPEC,9.93%,0.0318,4.70%,16.16%,0.00%
PRI,E17D5,MORELOS,YAUTEPEC,7.70%,0.0117,5.78%,10.00%,0.00%
PT,E17D5,MORELOS,YAUTEPEC,6.66%,0.0049,5.86%,7.61%,0.00%
PVEM,E17D5,MORELOS,YAUTEPEC,7.30%,0.0137,5.05%,9.97%,0.00%
RSP,E17D5,MORELOS,YAUTEPEC,11.09%,0.0192,7.93%,14.86%,0.00%
ES,E18D1,NAYARIT,SANTIAGO IXCUINTLA,0.43%,0.0404,0.00%,8.34%,0.00%
MC,E18D1,NAYARIT,SANTIAGO IXCUINTLA,5.18%,0.0130,3.04%,7.73%,0.00%
MORENA,E18D1,NAYARIT,SANTIAGO IXCUINTLA,52.97%,0.0827,39.37%,69.17%,86.20%
PRI,E18D1,NAYARIT,SANTIAGO IXCUINTLA,33.74%,0.0884,19.20%,51.07%,13.80%
RSP,E18D1,NAYARIT,SANTIAGO IXCUINTLA,4.73%,0.0295,0.00%,10.50%,0.00%
ES,E18D2,NAYARIT,TEPIC,1.39%,0.0359,0.00%,8.43%,0.00%
MC,E18D2,NAYARIT,TEPIC,3.62%,0.0106,1.88%,5.71%,0.00%
PRD,E18D2,NAYARIT,TEPIC,30.13%,0.0704,18.56%,43.93%,0.47%
PVEM,E18D2,NAYARIT,TEPIC,56.09%,0.0563,46.83%,67.12%,99.53%
RSP,E18D2,NAYARIT,TEPIC,3.42%,0.0293,0.00%,9.17%,0.00%
ES,E18D3,NAYARIT,COMPOSTELA,2.60%,0.0494,0.00%,12.28%,0.00%
MC,E18D3,NAYARIT,COMPOSTELA,4.85%,0.0160,2.22%,7.98%,0.00%
MORENA,E18D3,NAYARIT,COMPOSTELA,51.98%,0.0813,38.59%,67.92%,65.15%
PAN,E18D3,NAYARIT,COMPOSTELA,42.16%,0.0853,28.13%,58.88%,34.85%
RSP,E18D3,NAYARIT,COMPOSTELA,0.35%,0.0074,0.00%,1.80%,0.00%
ES,E19D1,NUEVO LEÓN,SANTA CATARINA,2.80%,0.0315,0.00%,8.97%,0.00%
MC,E19D1,NUEVO LEÓN,SANTA CATARINA,12.77%,0.0397,6.24%,20.55%,0.32%
MORENA,E19D1,NUEVO LEÓN,SANTA CATARINA,20.42%,0.0108,18.64%,22.53%,4.55%
PAN,E19D1,NUEVO LEÓN,SANTA CATARINA,36.84%,0.0928,21.57%,55.03%,84.44%
PRD,E19D1,NUEVO LEÓN,SANTA CATARINA,2.84%,0.0381,0.00%,10.32%,0.00%
PRI,E19D1,NUEVO LEÓN,SANTA CATARINA,14.07%,0.1173,0.00%,37.06%,10.68%
PT,E19D1,NUEVO LEÓN,SANTA CATARINA,1.56%,0.0037,0.95%,2.29%,0.00%
PVEM,E19D1,NUEVO LEÓN,SANTA CATARINA,6.10%,0.0453,0.00%,14.98%,0.01%
RSP,E19D1,NUEVO LEÓN,SANTA CATARINA,1.91%,0.0124,0.00%,4.34%,0.00%
ES,E19D10,NUEVO LEÓN,MONTERREY,1.98%,0.0314,0.00%,8.12%,0.00%
MC,E19D10,NUEVO LEÓN,MONTERREY,12.15%,0.0467,4.47%,21.31%,0.78%
PAN,E19D10,NUEVO LEÓN,MONTERREY,32.32%,0.0712,20.60%,46.28%,52.15%
PRD,E19D10,NUEVO LEÓN,MONTERREY,0.74%,0.0406,0.00%,8.70%,0.00%
PRI,E19D10,NUEVO LEÓN,MONTERREY,15.80%,0.1027,0.00%,35.93%,9.15%
PVEM,E19D10,NUEVO LEÓN,MONTERREY,31.20%,0.0649,20.52%,43.92%,37.92%
RSP,E19D10,NUEVO LEÓN,MONTERREY,0.97%,0.0152,0.00%,3.95%,0.00%
ES,E19D11,NUEVO LEÓN,GUADALUPE,2.41%,0.0337,0.00%,9.02%,0.00%
MC,E19D11,NUEVO LEÓN,GUADALUPE,10.56%,0.0430,3.48%,19.00%,0.04%
PAN,E19D11,NUEVO LEÓN,GUADALUPE,27.94%,0.0301,22.98%,33.85%,52.80%
PRD,E19D11,NUEVO LEÓN,GUADALUPE,2.20%,0.0367,0.00%,9.39%,0.00%
PRI,E19D11,NUEVO LEÓN,GUADALUPE,20.02%,0.0954,4.33%,38.71%,11.03%
PT,E19D11,NUEVO LEÓN,GUADALUPE,36.60%,0.0834,22.88%,52.96%,36.12%
RSP,E19D11,NUEVO LEÓN,GUADALUPE,1.68%,0.0153,0.00%,4.69%,0.00%
ES,E19D12,NUEVO LEÓN,BENITO JUAREZ,4.79%,0.0433,0.00%,13.29%,0.00%
MC,E19D12,NUEVO LEÓN,BENITO JUAREZ,8.00%,0.0344,2.35%,14.73%,0.00%
MORENA,E19D12,NUEVO LEÓN,BENITO JUAREZ,45.33%,0.0835,31.59%,61.70%,97.93%
PAN,E19D12,NUEVO LEÓN,BENITO JUAREZ,16.14%,0.0131,13.99%,18.70%,0.00%
PRD,E19D12,NUEVO LEÓN,BENITO JUAREZ,0.99%,0.0286,0.00%,6.60%,0.00%
PRI,E19D12,NUEVO LEÓN,BENITO JUAREZ,19.26%,0.0701,7.74%,33.00%,2.07%
RSP,E19D12,NUEVO LEÓN,BENITO JUAREZ,4.45%,0.0254,0.00%,9.43%,0.00%
ES,E19D2,NUEVO LEÓN,APODACA,2.61%,0.0428,0.00%,10.99%,0.00%
MC,E19D2,NUEVO LEÓN,APODACA,9.57%,0.0408,2.86%,17.56%,0.00%
MORENA,E19D2,NUEVO LEÓN,APODACA,41.82%,0.0821,28.32%,57.92%,92.08%
PAN,E19D2,NUEVO LEÓN,APODACA,22.73%,0.0152,20.23%,25.71%,0.00%
PRD,E19D2,NUEVO LEÓN,APODACA,1.12%,0.0360,0.00%,8.17%,0.00%
PRI,E19D2,NUEVO LEÓN,APODACA,20.63%,0.0744,8.40%,35.20%,7.92%
RSP,E19D2,NUEVO LEÓN,APODACA,2.35%,0.0208,0.00%,6.44%,0.00%
ES,E19D3,NUEVO LEÓN,GRAL. ESCOBEDO,3.02%,0.0387,0.00%,10.61%,0.00%
MC,E19D3,NUEVO LEÓN,GRAL. ESCOBEDO,10.37%,0.0426,3.36%,18.73%,0.00%
PAN,E19D3,NUEVO LEÓN,GRAL. ESCOBEDO,22.58%,0.0181,19.61%,26.13%,0.08%
PRD,E19D3,NUEVO LEÓN,GRAL. ESCOBEDO,2.13%,0.0344,0.00%,8.87%,0.00%
PRI,E19D3,NUEVO LEÓN,GRAL. ESCOBEDO,17.00%,0.0722,5.12%,31.16%,3.58%
PT,E19D3,NUEVO LEÓN,GRAL. ESCOBEDO,39.22%,0.0698,27.73%,52.90%,96.34%
RSP,E19D3,NUEVO LEÓN,GRAL. ESCOBEDO,1.87%,0.0203,0.00%,5.84%,0.00%
ES,E19D4,NUEVO LEÓN,SAN NICOLAS DE LOS GARZA,3.12%,0.0327,0.00%,9.53%,0.00%
MC,E19D4,NUEVO LEÓN,SAN NICOLAS DE LOS GARZA,10.70%,0.0383,4.41%,18.21%,0.03%
MORENA,E19D4,NUEVO LEÓN,SAN NICOLAS DE LOS GARZA,21.17%,0.0102,19.49%,23.17%,5.52%
PAN,E19D4,NUEVO LEÓN,SAN NICOLAS DE LOS GARZA,36.31%,0.0862,22.13%,53.20%,86.83%
PRD,E19D4,NUEVO LEÓN,SAN NICOLAS DE LOS GARZA,1.41%,0.0314,0.00%,7.56%,0.00%
PRI,E19D4,NUEVO LEÓN,SAN NICOLAS DE LOS GARZA,13.77%,0.1057,0.00%,34.49%,7.62%
PT,E19D4,NUEVO LEÓN,SAN NICOLAS DE LOS GARZA,2.79%,0.0066,1.71%,4.09%,0.00%
PVEM,E19D4,NUEVO LEÓN,SAN NICOLAS DE LOS GARZA,6.37%,0.0433,0.00%,14.86%,0.00%
RSP,E19D4,NUEVO LEÓN,SAN NICOLAS DE LOS GARZA,1.58%,0.0162,0.00%,4.75%,0.00%
ES,E19D5,NUEVO LEÓN,MONTERREY,3.29%,0.0481,0.00%,12.71%,0.00%
MC,E19D5,NUEVO LEÓN,MONTERREY,8.53%,0.0432,1.43%,16.99%,0.00%
PAN,E19D5,NUEVO LEÓN,MONTERREY,16.71%,0.0300,11.77%,22.60%,0.00%
PRD,E19D5,NUEVO LEÓN,MONTERREY,1.55%,0.0353,0.00%,8.47%,0.00%
PRI,E19D5,NUEVO LEÓN,MONTERREY,21.94%,0.0797,8.83%,37.57%,12.09%
PT,E19D5,NUEVO LEÓN,MONTERREY,41.95%,0.0858,27.84%,58.77%,87.90%
RSP,E19D5,NUEVO LEÓN,MONTERREY,1.07%,0.0249,0.00%,5.95%,0.00%
ES,E19D6,NUEVO LEÓN,MONTERREY,2.65%,0.0344,0.00%,9.38%,0.00%
MC,E19D6,NUEVO LEÓN,MONTERREY,12.94%,0.0496,4.78%,22.66%,1.30%
MORENA,E19D6,NUEVO LEÓN,MONTERREY,19.66%,0.0091,18.17%,21.43%,0.40%
PAN,E19D6,NUEVO LEÓN,MONTERREY,30.10%,0.0517,21.59%,40.24%,82.59%
PRD,E19D6,NUEVO LEÓN,MONTERREY,1.52%,0.0416,0.00%,9.68%,0.00%
PRI,E19D6,NUEVO LEÓN,MONTERREY,17.13%,0.0909,0.00%,34.95%,15.64%
PT,E19D6,NUEVO LEÓN,MONTERREY,3.98%,0.0081,2.65%,5.57%,0.00%
PVEM,E19D6,NUEVO LEÓN,MONTERREY,6.71%,0.0544,0.00%,17.37%,0.06%
RSP,E19D6,NUEVO LEÓN,MONTERREY,1.16%,0.0179,0.00%,4.66%,0.00%
ES,E19D7,NUEVO LEÓN,GARCIA,3.36%,0.0376,0.00%,10.72%,0.00%
MC,E19D7,NUEVO LEÓN,GARCIA,9.81%,0.0390,3.40%,17.46%,0.00%
PAN,E19D7,NUEVO LEÓN,GARCIA,22.53%,0.0172,19.70%,25.90%,0.00%
PRD,E19D7,NUEVO LEÓN,GARCIA,2.01%,0.0337,0.00%,8.62%,0.00%
PRI,E19D7,NUEVO LEÓN,GARCIA,19.17%,0.0714,7.43%,33.16%,4.66%
PVEM,E19D7,NUEVO LEÓN,GARCIA,40.52%,0.0712,28.81%,54.48%,95.34%
RSP,E19D7,NUEVO LEÓN,GARCIA,2.44%,0.0184,0.00%,6.05%,0.00%
ES,E19D8,NUEVO LEÓN,GUADALUPE,3.49%,0.0435,0.00%,12.02%,0.00%
MC,E19D8,NUEVO LEÓN,GUADALUPE,10.02%,0.0420,3.12%,18.25%,0.00%
PAN,E19D8,NUEVO LEÓN,GUADALUPE,25.62%,0.0242,21.63%,30.36%,8.25%
PRD,E19D8,NUEVO LEÓN,GUADALUPE,1.59%,0.0346,0.00%,8.38%,0.00%
PRI,E19D8,NUEVO LEÓN,GUADALUPE,18.48%,0.0808,5.19%,34.32%,4.28%
PVEM,E19D8,NUEVO LEÓN,GUADALUPE,39.69%,0.0737,27.56%,54.14%,87.47%
